,D1,D2,D3,D4,A5,A6,A7,A8,A9,A10,+11,R12,R13,R14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,L29,L30
+11,0.0,2.7948259828738755,7.661151223033342,7.701109292165042,7.068463521453826,5.045148632558537,2.7948259828738755,7.3607314880799075,5.698767019106104,7.782802696600105,0.0,5.701734955750966,9.403651272713672,9.227506944260544,7.33042952570191,5.2782084404483145,8.499365143171248,9.519441822570302,10.42032716500052,10.416292892559605,9.510951438344662,8.172676645223792,9.500165588743625,10.509794806758233,10.362418098077013,9.174560425373489,7.974998903190351,6.775706001243278,9.403651272713672,9.227506944260544
R12,5.701734955750966,8.341199079680022,2.7723326300486244,5.571877657197826,1.379275553067259,1.3646269525157135,8.341199079680022,4.456468877998474,5.607389677149779,6.945884579750754,5.701734955750966,0.0,4.840953649437876,8.993437091374313,2.799483430806693,1.3615004298055848,4.532732018377164,5.66827396343027,6.077871529192032,5.50324441481363,4.335513976634727,7.762476180639182,8.494246130127987,9.724250620065577,10.261895724292957,9.677556059981502,8.434080317353802,8.150003154207182,4.840953649437876,8.993437091374313
R13,9.403651272713672,12.017127869693464,2.8582683033946976,3.728982861362074,4.370316489886232,6.04056518028329,12.017127869693464,3.670304506957655,5.784708982590698,5.950695657788389,9.403651272713672,4.840953649437876,0.0,7.133136354895116,6.432197823535077,4.49807530313224,1.4013630022965735,1.397815658049927,1.4063285490447004,1.39514071862763,1.3952499322743486,6.258703798292811,6.136302640418473,7.154851391277505,8.147401213811422,8.24693212433857,7.392796042700383,8.000591384040149,0.0,7.133136354895116
R14,9.227506944260544,10.86001376895983,8.05294363048315,3.8454358897011143,9.635576577022773,9.720817006204427,10.86001376895983,5.922427766410835,3.9408789279945133,3.8382996243748457,9.227506944260544,8.993437091374313,7.133136354895116,0.0,11.533812722729488,7.804629875136929,6.120326909082552,5.891911948965169,7.069840208693766,8.248175130008152,8.42722579766097,1.3983880573157825,1.393030313922297,1.4068188636677132,1.3964350566798163,1.3863437363061786,1.4233776008732613,2.923094402993187,7.133136354895116,0.0
H15,7.33042952570191,9.853641310262507,4.803157754621888,8.129431481898887,2.424702757784181,2.4284302780404152,9.853641310262507,7.067776423534168,8.320969255706087,9.709917978526484,7.33042952570191,2.799483430806693,6.432197823535077,11.533812722729488,0.0,4.160706711138281,6.650459180388318,7.544314758023114,7.483643344119034,6.522152404901179,5.466459097789926,10.384499723014768,11.035972363305595,12.193409935873422,12.726658982519227,12.180316729137495,11.014010633745048,10.711357207840546,6.432197823535077,11.533812722729488
H16,5.2782084404483145,7.8703322348641125,2.425761608656427,4.419924240435674,2.375397973120012,2.3571511396042784,7.8703322348641125,3.3013312226228164,4.315759018927983,5.611740342664304,5.2782084404483145,1.3615004298055848,4.49807530313224,7.804629875136929,4.160706711138281,0.0,3.8190427488890455,5.0549183946258065,5.754214536828074,5.460098960601744,4.355548233695664,6.52544386359893,7.310651554506218,8.579137891673746,9.114066344356162,8.508651138331473,7.221816268660909,6.95543777657201,4.49807530313224,7.804629875136929
H17,8.499365143171248,11.002684980366631,2.483840657949403,2.4602995202555427,4.402555569614986,5.7644875307653916,11.002684980366631,2.359646907231938,4.5012286925794935,4.579863249689064,8.499365143171248,4.532732018377164,1.4013630022965735,6.120326909082552,6.650459180388318,3.8190427488890455,0.0,1.4084293937247145,2.431398109352429,2.79647566616657,2.4247705713996264,5.102231826119086,5.127901969475192,6.291547275425113,7.259491542185049,7.2475825413202335,6.275680752868427,6.836404038845849,1.4013630022965735,6.120326909082552
H18,9.519441822570302,12.043808828742694,3.7692994153713997,2.868064821023737,5.463264818331317,6.819507981396537,12.043808828742694,3.5850797806315384,5.183619150798233,5.185631408923848,9.519441822570302,5.66827396343027,1.397815658049927,5.891911948965169,7.544314758023114,5.0549183946258065,1.4084293937247145,0.0,1.3930281493805134,2.407578983476499,2.7930111809014697,5.14730657057472,4.862338441135931,5.807032981178492,6.836702291463441,7.047480460216321,6.308303486810292,7.094249584924919,1.397815658049927,5.891911948965169
H19,10.42032716500052,13.043144524514624,4.264047517093591,4.241389779289685,5.6145277824043935,7.187581876274873,13.043144524514624,4.76431673256552,6.474817739695661,6.57427051218592,10.42032716500052,6.077871529192032,1.4063285490447004,7.069840208693766,7.483643344119034,5.754214536828074,2.431398109352429,1.3930281493805134,0.0,1.390509114852945,2.423531629022333,6.441359312329539,6.073227366501629,6.870224420814737,7.890017325374178,8.182804698075177,7.542091146096257,8.33016986644715,1.4063285490447004,7.069840208693766
H20,10.416292892559605,13.100642256357322,3.757874064819437,5.058883860816495,4.77522641341625,6.611674243146331,13.100642256357322,5.026527145258295,7.105116795505623,7.325468723842425,10.416292892559605,5.50324441481363,1.39514071862763,8.248175130008152,6.522152404901179,5.460098960601744,2.79647566616657,2.407578983476499,1.390509114852945,0.0,1.400725873633242,7.488216506547234,7.264190884015145,8.155980581580643,9.15160460690082,9.33786951868246,8.5824212477701,9.220822330712505,1.39514071862763,8.248175130008152
