,ZINC000000407042,ZINC000238647610,ZINC000005459729,ZINC000071774281,ZINC000002168364,ZINC000002573720,ZINC000013541707,ZINC000035269900,ZINC000002539969,ZINC000002526729,ZINC000034781181,ZINC000002530713,ZINC000002379552,ZINC000039128256,ZINC000071475078,ZINC000095831395,ZINC000196158025,ZINC000002310128,ZINC000001671967,ZINC000141170010,ZINC000141166899,ZINC000002279015,ZINC000002242717,ZINC000019844543,ZINC000002526741,ZINC000002786193
ZINC000071475078,0.009174311926605505,0.02575107296137339,0.03977272727272727,0.034482758620689655,0.010309278350515464,0.02857142857142857,0.03765690376569038,0.22131147540983606,0.04,0.04263565891472868,0.06640625,0.02358490566037736,0.05078125,0.024691358024691357,1.0,0.052132701421800945,0.010416666666666666,0.02824858757062147,0.015503875968992248,0.0547945205479452,0.05,0.022099447513812154,0.03225806451612903,0.028925619834710745,0.023668639053254437,0.015810276679841896
ZINC000095831395,0.14925373134328357,0.36220472440944884,0.035398230088495575,0.017857142857142856,0.08333333333333333,0.056818181818181816,0.4108527131782946,0.01871657754010695,0.4264705882352941,0.460431654676259,0.4375,0.23770491803278687,0.460431654676259,0.22818791946308725,0.052132701421800945,1.0,0.6410256410256411,0.017543859649122806,0.1951219512195122,0.023255813953488372,0.02,0.07207207207207207,0.6153846153846154,0.1509433962264151,0.22988505747126436,0.11695906432748537
ZINC000196158025,0.18867924528301888,0.25,0.047058823529411764,0.0,0.10869565217391304,0.06756756756756757,0.2727272727272727,0.008571428571428572,0.296875,0.32575757575757575,0.30656934306569344,0.21782178217821782,0.32575757575757575,0.2109375,0.010416666666666666,0.6410256410256411,1.0,0.0,0.20863309352517986,0.034482758620689655,0.027777777777777776,0.05813953488372093,0.53125,0.13138686131386862,0.234375,0.13986013986013987
ZINC000002310128,0.017857142857142856,0.05555555555555555,0.02666666666666667,0.1746031746031746,0.034482758620689655,0.02097902097902098,0.05185185185185185,0.03333333333333333,0.07692307692307693,0.04487179487179487,0.07051282051282051,0.11,0.04487179487179487,0.014184397163120567,0.02824858757062147,0.017543859649122806,0.0,1.0,0.04697986577181208,0.0,0.01639344262295082,0.12857142857142856,0.011764705882352941,0.1,0.0,0.013422818791946308
ZINC000001671967,0.1901840490797546,0.2529411764705882,0.026143790849673203,0.047619047619047616,0.12582781456953643,0.09178743961352658,0.24022346368715083,0.021844660194174758,0.225130890052356,0.215,0.2107843137254902,0.23225806451612904,0.215,0.1736842105263158,0.015503875968992248,0.1951219512195122,0.20863309352517986,0.04697986577181208,1.0,0.0,0.0,0.14388489208633093,0.16901408450704225,0.12626262626262627,0.11363636363636363,0.12682926829268293
ZINC000141170010,0.0,0.0,0.0425531914893617,0.0,0.0,0.008547008547008548,0.008849557522123894,0.016233766233766232,0.016129032258064516,0.015037593984962405,0.014598540145985401,0.0,0.015037593984962405,0.0,0.0547945205479452,0.023255813953488372,0.034482758620689655,0.0,0.0,1.0,0.4166666666666667,0.0,0.03571428571428571,0.0,0.0,0.0
ZINC000141166899,0.0,0.0,0.03278688524590164,0.0,0.0,0.007633587786259542,0.007874015748031496,0.015527950310559006,0.014492753623188406,0.013605442176870748,0.013245033112582781,0.0,0.013605442176870748,0.0,0.05,0.02,0.027777777777777776,0.01639344262295082,0.0,0.4166666666666667,1.0,0.0,0.02857142857142857,0.0,0.0,0.0
ZINC000002279015,0.18181818181818182,0.15254237288135594,0.02564102564102564,0.08450704225352113,0.36764705882352944,0.20161290322580644,0.14173228346456693,0.01775147928994083,0.12949640287769784,0.12162162162162163,0.11842105263157894,0.1875,0.12162162162162163,0.08955223880597014,0.022099447513812154,0.07207207207207207,0.05813953488372093,0.12857142857142856,0.14388489208633093,0.0,0.0,1.0,0.08536585365853659,0.08955223880597014,0.06060606060606061,0.1
ZINC000002242717,0.19230769230769232,0.3119266055045872,0.023529411764705882,0.012048192771084338,0.1111111111111111,0.0684931506849315,0.3333333333333333,0.011527377521613832,0.3442622950819672,0.373015873015873,0.3409090909090909,0.2736842105263158,0.36220472440944884,0.21428571428571427,0.03225806451612903,0.6153846153846154,0.53125,0.011764705882352941,0.16901408450704225,0.03571428571428571,0.02857142857142857,0.08536585365853659,1.0,0.1590909090909091,0.3508771929824561,0.14184397163120568
ZINC000019844543,0.17532467532467533,0.30718954248366015,0.02127659574468085,0.13709677419354838,0.1056338028169014,0.07575757575757576,0.29012345679012347,0.04884318766066838,0.3393939393939394,0.2568306010928962,0.3146067415730337,0.45901639344262296,0.2568306010928962,0.1864406779661017,0.028925619834710745,0.1509433962264151,0.13138686131386862,0.1,0.12626262626262627,0.0,0.0,0.08955223880597014,0.1590909090909091,1.0,0.1452991452991453,0.23163841807909605
ZINC000002526741,0.16666666666666666,0.19230769230769232,0.0,0.0,0.0945945945945946,0.05384615384615385,0.17699115044247787,0.012195121951219513,0.16,0.14925373134328357,0.14492753623188406,0.1724137931034483,0.14925373134328357,0.2761904761904762,0.023668639053254437,0.22988505747126436,0.234375,0.0,0.11363636363636363,0.0,0.0,0.06060606060606061,0.3508771929824561,0.1452991452991453,1.0,0.12698412698412698
ZINC000002786193,0.21935483870967742,0.2023121387283237,0.020134228187919462,0.02054794520547945,0.18705035971223022,0.13333333333333333,0.19230769230769232,0.012165450121654502,0.18041237113402062,0.1724137931034483,0.16908212560386474,0.23178807947019867,0.1724137931034483,0.1978021978021978,0.015810276679841896,0.11695906432748537,0.13986013986013987,0.013422818791946308,0.12682926829268293,0.0,0.0,0.1,0.14184397163120568,0.23163841807909605,0.12698412698412698,1.0
