Name,Canonical_SMILES,SMILES
ZINC000042411926,Cn1cc(NCc2cccc(Br)c2[O-])cn1,C([H])([H])([H])n1c([H])c(c([H])n1)N([H])C([H])([H])c2c([H])c([H])c([H])c(c2[O-])Br
ZINC001236793118,Oc1cc(Cl)c(Cl)cc1C[NH+]2CCC(=O)CC2,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)Cl
ZINC001236793118,Oc1cc(Cl)c(Cl)cc1CN2CCC(=O)CC2,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)Cl
ZINC000876600858,COCC[NH+](Cc1occc1)Cc2ccc(F)c(F)c2[O-],C([H])([H])([H])OC([H])([H])C([H])([H])[N+]([H])(C([H])([H])c1c([H])c([H])c(c(c1[O-])F)F)C([H])([H])c2c([H])c([H])c([H])o2
ZINC000876600858,COCCN(Cc1occc1)Cc2ccc(F)c(F)c2[O-],C([H])([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])c1c([H])c([H])c(c(c1[O-])F)F)C([H])([H])c2c([H])c([H])c([H])o2
ZINC001233415885,C[NH+](Cc1cccc(c1O)C(F)(F)F)Cc2ncccn2,C([H])([H])([H])[N+]([H])(C([H])([H])c1nc([H])c([H])c([H])n1)C([H])([H])c2c([H])c([H])c([H])c(c2O[H])C(F)(F)F
ZINC001233415885,CN(Cc1cccc(c1O)C(F)(F)F)Cc2ncccn2,C([H])([H])([H])N(C([H])([H])c1nc([H])c([H])c([H])n1)C([H])([H])c2c([H])c([H])c([H])c(c2O[H])C(F)(F)F
ZINC000876611314,C[NH+](Cc1ccc(F)c(F)c1[O-])Cc2c(C)onc2C,C([H])([H])([H])c1noc(c1C([H])([H])[N+]([H])(C([H])([H])c2c([H])c([H])c(c(c2[O-])F)F)C([H])([H])[H])C([H])([H])[H]
ZINC000876611314,CN(Cc1ccc(F)c(F)c1[O-])Cc2c(C)onc2C,C([H])([H])([H])c1noc(c1C([H])([H])N(C([H])([H])c2c([H])c([H])c(c(c2[O-])F)F)C([H])([H])[H])C([H])([H])[H]
ZINC000876741111,CCn1cc(C[NH+](C)Cc2ccc(F)c(F)c2[O-])cn1,C([H])([H])([H])C([H])([H])n1c([H])c(c([H])n1)C([H])([H])[N+]([H])(C([H])([H])c2c([H])c([H])c(c(c2[O-])F)F)C([H])([H])[H]
ZINC000876741111,CCn1cc(CN(C)Cc2ccc(F)c(F)c2[O-])cn1,C([H])([H])([H])C([H])([H])n1c([H])c(c([H])n1)C([H])([H])N(C([H])([H])c2c([H])c([H])c(c(c2[O-])F)F)C([H])([H])[H]
ZINC000401784454,CCCCOc1ccc(C[NH2+]CCc2cncn2C)cc1,C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c(c([H])c1[H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])c2c([H])nc([H])n2C([H])([H])[H]
ZINC000623085973,CCCOc1ccc(C[NH2+]CCc2cncn2C)c(C)c1,C([H])([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c(c(c1[H])C([H])([H])[H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])c2c([H])nc([H])n2C([H])([H])[H]
ZINC000623086474,CCCCOc1ccccc1C[NH2+]CCc2cncn2C,C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])c2c([H])nc([H])n2C([H])([H])[H]
