Compound_Name,SMILES,Molecular_Weight,AlogP98,PSA_2D,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Absorption_Level,Absorption_Description,Absorption_T2_2D,Solubility_Level,Solubility_Description,LogSw,BBB_Level,LogBB,CYP2D6_Score,CYP2D6_Inhibitor,Hepatotoxic_Score,Hepatotoxic,PPB_Score,High_PPB,Lipinski_Violations,Lipinski_Compliant
ZINC001237624215,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1[O-])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H],280.71,1.97,52.08,0,4,4,2,1,Moderate,7.5618,3,Good,-3.552,Medium,-0.36,0.4623,Yes,-5.0,No,-2.6477,No,0,True
ZINC001237803908,C([H])([H])([H])[N+]([H])(C([H])([H])c1c([H])c(c([H])c(c1O[H])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2,282.73,1.19,50.45,2,3,4,2,1,Moderate,7.8673,3,Good,-2.89,Medium,-0.455,0.3426,Yes,-5.0,No,-2.8649,No,0,True
ZINC001237803908,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1O[H])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2,281.72,2.61,49.25,1,4,4,2,1,Moderate,7.8704,3,Good,-3.857,Medium,-0.222,0.5109,Yes,-5.0,No,-2.4288,No,0,True
ZINC001237803908,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1[O-])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2,280.71,1.97,52.08,0,4,4,2,1,Moderate,7.5618,3,Good,-3.552,Medium,-0.36,0.4623,Yes,-5.0,No,-2.6477,No,0,True
ZINC001237950441,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)F,294.68,1.18,41.74,2,2,2,1,1,Moderate,6.5167,3,Good,-2.943,Medium,-0.329,0.2659,Yes,-5.0,No,-2.7694,No,0,True
ZINC001237950441,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)F,293.67,2.59,40.54,1,3,2,1,1,Moderate,6.5198,3,Good,-3.909,Medium,-0.096,0.4342,Yes,-5.0,No,-2.3333,No,0,True
ZINC001237950441,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2[O-])Cl)F,292.66,1.96,43.37,0,3,2,1,1,Moderate,6.2112,3,Good,-3.605,Medium,-0.234,0.3857,Yes,-5.0,No,-2.5522,No,0,True
ZINC000296181855,C([H])([H])([H])Oc1c([H])c(c([H])c(c1O[H])C([H])([H])[N+]([H])(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl,286.78,1.25,43.13,2,3,5,1,1,Moderate,7.3604,3,Good,-3.067,Medium,-0.339,0.2877,Yes,-5.0,No,-2.7706,No,0,True
ZINC000296181855,C([H])([H])([H])Oc1c([H])c(c([H])c(c1[O-])C([H])([H])[N+]([H])(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl,285.77,0.61,45.96,1,3,5,1,1,Moderate,7.0518,3,Good,-2.763,Medium,-0.476,0.2391,Yes,-5.0,No,-2.9895,No,0,True
ZINC000296181855,C([H])([H])([H])Oc1c([H])c(c([H])c(c1[O-])C([H])([H])N(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl,284.76,2.03,44.76,0,4,5,1,1,Moderate,7.0549,3,Good,-3.729,Medium,-0.243,0.4074,Yes,-5.0,No,-2.5534,No,0,True
ZINC000213194922,C([H])([H])([H])n1c([H])c([H])c(n1)C([H])([H])[N+]([H])([H])C([H])([H])c2c([H])c(c([H])c(c2[O-])Cl)Cl,286.16,1.06,57.49,1,3,4,2,1,Moderate,8.1406,3,Good,-2.933,Low,-0.579,0.3576,Yes,-5.0,No,-2.9695,No,0,True
ZINC000213194922,C([H])([H])([H])n1c([H])c([H])c(n1)C([H])([H])N([H])C([H])([H])c2c([H])c(c([H])c(c2[O-])Cl)Cl,285.15,2.09,52.91,1,4,4,2,1,Moderate,8.0884,3,Good,-3.553,Medium,-0.355,0.47,Yes,-5.0,No,-2.6169,No,0,True
ZINC000816546879,C([H])([H])([H])n1c([H])c(c([H])n1)N([H])C([H])([H])c2c([H])c(c(c([H])c2[O-])F)Cl,254.67,1.9,52.91,1,4,3,2,1,Moderate,7.7698,3,Good,-3.193,Medium,-0.381,0.4203,Yes,-5.0,No,-2.7049,No,0,True
ZINC001232259014,O([H])c1c([H])c(c(c([H])c1Cl)C([H])([H])[N+]2([H])C([H])([H])C(C2([H])[H])(C3([H])C([H])([H])C3([H])[H])F)O[H],272.73,1.27,44.9,3,2,3,1,1,Moderate,7.4159,3,Good,-2.814,Medium,-0.36,0.2493,Yes,-5.0,No,-2.7959,No,0,True
ZINC001232259014,[O-]c1c([H])c(c(c([H])c1Cl)C([H])([H])[N+]2([H])C([H])([H])C(C2([H])[H])(C3([H])C([H])([H])C3([H])[H])F)O[H],271.72,0.64,47.73,2,2,3,1,1,Moderate,7.1072,3,Good,-2.509,Medium,-0.498,0.2008,Yes,-5.0,No,-3.0148,No,0,True
