,D1,D2,D3,D4,A5,A6,A7,A8,+9,+10,R11,R12,R13,R14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,L30,L31
H20,2.4100102540794794,5.110319937479852,7.710238284642196,7.2143133066105145,2.330670932008826,6.836797221017092,8.910809247977955,13.064799251132317,5.110319937479852,7.710238284642196,5.175262701699353,1.3997071907180447,8.20633993361832,12.43191919271,8.072374618081582,6.576212251380188,4.777568726546195,4.493731734828183,5.875484664291786,0.0,1.4008843103021908,2.4226933431464586,2.8087307594508006,2.416935677476704,1.3969661841560364,9.025962869463726,11.023984794441409,13.307593237465683,11.944311264950024,5.175262701699353,1.3997071907180447
H21,2.9300266200021086,4.822665397667469,7.251359157521768,7.368392296296611,3.5017542736602807,6.696137920573875,8.860457814571877,13.014625945596059,4.822665397667469,7.251359157521768,5.6708488960498595,1.399051631154426,8.045800354972888,12.261912679357271,8.557428306417206,7.060262992915724,5.041653469828412,5.2112920107373295,6.533539874589443,1.4008843103021908,0.0,1.397625666227712,2.431453435566881,2.793060445278565,2.423630669237107,8.741726962787567,10.849119637328974,13.025726989700422,11.64422946100683,5.6708488960498595,1.399051631154426
H22,4.279088265702458,3.6561490795867635,6.075604371731814,8.583017851153183,4.676906878429097,7.65228527098846,9.904374311502501,14.006048138156443,3.6561490795867635,6.075604371731814,7.036978877489203,1.3970701442440532,8.97559271570169,13.168735641103254,9.923343225890118,8.425599269755972,6.326549065614815,6.597156456758038,7.924700727826533,2.4226933431464586,1.397625666227712,0.0,1.4028059061404927,2.419014575958144,2.7977550099881685,9.515639443044968,11.755660639933362,13.841228811389191,12.448284822339934,7.036978877489203,1.3970701442440532
H23,5.039149100592947,2.5042277343065105,5.287175825521621,9.541282212986742,4.97821746964221,8.624154901872222,10.901112083849373,14.987077248464335,2.5042277343065105,5.287175825521621,7.855759509092655,1.4090238820612795,9.960801365157065,14.176696278342463,10.767340796264033,9.26170363661245,7.226736485637109,7.2881280959953445,8.659044316827064,2.8087307594508006,2.431453435566881,1.4028059061404927,0.0,1.4051267529478437,2.4347093349838067,10.48521048128843,12.758810675641305,14.872915491673036,13.478595516481649,7.855759509092655,1.4090238820612795
H24,4.738828070804168,3.0336663058921016,5.913618490878681,9.406890561088728,4.2214199597889,8.71924232926565,10.927081838851944,15.016015486095743,3.0336663058921016,5.913618490878681,7.489351561611956,1.3940157403371314,10.076566231525588,14.309902588594145,10.369720078145578,8.881838162201015,7.028736075250261,6.777267516867388,8.157700329534558,2.416935677476704,2.793060445278565,2.419014575958144,1.4051267529478437,0.0,1.3963529318798413,10.71000026295513,12.893711378127863,15.106957595959187,13.725296130153149,7.489351561611956,1.3940157403371314
H25,3.5750588623782273,4.366513776505699,7.110610696693185,8.321924314963525,2.864671897228266,7.903933661346462,10.000390728316281,14.105855689846987,4.366513776505699,7.110610696693185,6.229177703420385,1.4006929628801759,9.268556902033918,13.490512288959131,9.076603955714223,7.604521353953598,5.906734400514532,5.441151215595187,6.818086221054965,1.3969661841560364,2.423630669237107,2.7977550099881685,2.4347093349838067,1.3963529318798413,0.0,10.03985778766707,12.083428339042014,14.374213675001203,13.011239295543765,6.229177703420385,1.4006929628801759
H26,7.225166060299149,12.864265855490487,15.432028403054492,4.106381194898007,9.5004647045573,2.3914253218275165,2.3815442418870925,4.924441505955227,12.864265855490487,15.432028403054492,6.481507846464647,9.679159564529924,1.3870361952525192,3.842156825049103,6.922522839330545,6.505338439029377,5.416721772266511,7.773421219648178,7.659191686573404,9.025962869463726,8.741726962787567,9.515639443044968,10.48521048128843,10.71000026295513,10.03985778766707,0.0,2.5111045201241184,4.425603062368848,3.0479352756618248,6.481507846464647,9.679159564529924
H27,8.956444712478856,15.191818827431339,17.75222897673565,4.691240411564792,11.109257954557696,4.195548889094938,2.3933767750885466,2.4486283200253713,15.191818827431339,17.75222897673565,7.492192666339069,11.837177158451576,2.825923431723288,1.419559600464205,6.904603737572992,7.033531633401947,6.778793457774948,8.88851208410453,8.385826709668782,11.023984794441409,10.849119637328974,11.755660639933362,12.758810675641305,12.893711378127863,12.083428339042014,2.5111045201241184,0.0,2.4338704151332036,1.4040143426475835,7.492192666339069,11.837177158451576
H28,11.309068420937901,17.25116943626549,19.732654060176195,7.0759566809654935,13.500704627620099,6.489358134025609,4.797382998731153,2.403493557127041,17.25116943626549,19.732654060176195,9.887633372203048,14.03937390912501,5.1327588147697565,1.3855111458083842,9.110387315891858,9.375887383048358,9.169582947981851,11.28659209830058,10.747601961233801,13.307593237465683,13.025726989700422,13.841228811389191,14.872915491673036,15.106957595959187,14.374213675001203,4.425603062368848,2.4338704151332036,0.0,1.3957912855492332,9.887633372203048,14.03937390912501
H29,9.990426161480274,15.855876614451041,18.341749789442147,5.95782944441214,12.214343057497429,5.1476333105602725,3.6680031920014615,2.790644262884899,15.855876614451041,18.341749789442147,8.722570464000437,12.65440756996548,3.8115366270282145,1.3892158198928317,8.244105747867021,8.336041134894794,7.915395158056989,10.10836335055932,9.672047983116846,11.944311264950024,11.64422946100683,12.448284822339934,13.478595516481649,13.725296130153149,13.011239295543765,3.0479352756618248,1.4040143426475835,1.3957912855492332,0.0,8.722570464000437,12.65440756996548
L30,2.81668780595016,10.267595900980421,12.775194025192954,2.829098251272585,4.105283957494039,4.198175021851966,5.099530218694217,8.96945071886887,10.267595900980421,12.775194025192954,0.0,6.4975385398300105,5.161759743294816,8.730585482499974,2.911632711103925,1.4065260359566472,1.378591866055849,1.4040746910177775,1.3871690972368187,5.175262701699353,5.6708488960498595,7.036978877489203,7.855759509092655,7.489351561611956,6.229177703420385,6.481507846464647,7.492192666339069,9.887633372203048,8.722570464000437,0.0,6.4975385398300105
L31,3.6872632846364644,3.775418921998477,6.463615464397658,8.33695485890285,3.619812357740849,7.651274745829842,9.853012584158432,13.985399071068771,3.775418921998477,6.463615464397658,6.4975385398300105,0.0,9.014268146683756,13.255877736576496,9.407072818086588,7.903803440311157,5.958580905129049,5.884571008088382,7.260209686924624,1.3997071907180447,1.399051631154426,1.3970701442440532,1.4090238820612795,1.3940157403371314,1.4006929628801759,9.679159564529924,11.837177158451576,14.03937390912501,12.65440756996548,6.4975385398300105,0.0
